User_name,Review_date,Title,Review,Review_Rating,Movie_name
drmayurc,7 November 2022,Reality of medical services,"Shown exact situation of medical services at cutt off areas from mainland. Superb movie. Great acting with best screenplay and editing works. Each and every section is very well handled by director and producer. Story of rural India medical facilities regarding how is the reality despite of government policies and schemes which ignored always. Well handled topic which usually not disscus in the real Life. How much doctor can do for people and how much he couldn't do due to his hand tied by the situation he faces due to lack of facilities by government of India. How people get affected by the crisis and medical services.
                
                    31 out of 31 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
sumanmohanty-09208,6 November 2022,A masterpiece.The best odia movie.One of the best movies ever made.,"The best Odia movie. One of the best movies till now.1st tym after 5 yrs 60% seats were filled for an Odia movie in a multiplex. Can't believe a child sitting besides me scolded his disturbing father to concentrate on the movie .At the climax he stood up & said I will be a doctor definitely. Kudos to Devi Prasad Lenka & Vishal Mourya for giving this extraordinary movie to us. This movie is a tight slap to the cuttack based so called Ollywood film makers. They should retire & give works to these kind of new. Creative filmmakers . The duos Mumbai movie making skills clearly visible on the screen. Probably this will remain BabushanMohanty & 2nd lead named Ravi's best & memorable film.Really disappointing Babhushan u hv bn wasting ur god gifted talent by doing nonsense ,joker ,idiotic movies till now in the name of commercial cinema. Babushan u hv rotten urself. U must give us such extraordinary new kind of movies not the cheap Ashok Pati movies.❤❤❤❤
                
                    57 out of 59 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
soumenmohapatra,7 November 2022,Must Watch.,"Must watch.One of the best Odia movies so far which breaks all the rules. Trend SetterStart of a new era of Odia movie industry with Daman.Original Content, Perfect Casting.Babusan and Dipanwit have done really great job.👌👌👌👌👌👌👌Cinematography, Direction, Song all are at par.Picturization of beauty of Jungles of Malkanigiri, Koraput, Adivasi culture is really mind blowing.Loved that Dhemsa song and Nichhatia Mana by Babusan Mohanty.Kudos to director Duo for this awesome movie.The efforts behind whole team is directly reflecting in the movie. All the very best to Daman team.DAMAN.",10/10,Daman
ajitrajuraju,8 November 2022,#DAMAN A Must watch,"I feel overwhelmed by the movie, such a movie beautiful movie with facts. This is the best way to put social issue what common people face day today life. Many people across Odisha can relate this movie with their real life issue, they face with medical facility, health care issue, Govt reach and lots more. This is common across the country, most of the state goes through this issue every year. I urge the Director, producer to release it in other languages as well and give it a national image.This movie shows that Odia industry do have talent, potential and ability to think, deliver big content.I wish for such movies to come.
                
                    19 out of 20 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
pradhansunil-75942,7 November 2022,Epic with Masterpiece,"Seriously it's been a long time since any odia film put out the strength of the actual film. DAMaN showing the artificial picture to grab the audience to theatre. Every minutes of the scenes have a gratitude level performance. Cinematography, Content, Location along with screenplay deserve a lot of applause. For the first time in the theatre of Odisha, Audience stand and cheers in the climaxxx scene. It is coming with emotional attachment,Love ,care and understanding the naturalism. DAMaN is originally a biography movie about a doctor who appears to be a lot of problems when a cut-off area people are not able to get a basic level of treatment. Go watch and feel the theme of DAMaN.....
                
                    29 out of 30 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
daskprasad,6 November 2022,Masterpiece of ollywood,"What a movie yarr,finally someone changed whole ollywood industry in a single movie. Now i can proudly say this is our odia cinema. What a story line, what a cinematography and all actors in the movie just did their best. Request to every odia to watch the movie and you will feel proud for our odia movie. It will give you a complete package of entertainment with a social message. After this movie your respect will increase for every doctor. Salute to all doctors in the world and all the members including this movie. Feeling proud for the movie #Daman #odiacinema #proudforthemovie #ollywood #indiancinema.
                
                    33 out of 35 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
lopamudrabarik-63193,7 November 2022,'Daman' is revolution,"Guys never watched such kind of odia movie in last 15 years... If you are a true odia then please go and watch 'daman' in theater..i bet you you would love it...thanks to the entire daman team to make such a masterpiece 🙏..
And the best part of this film is every single frame covered in odisha and in this film you don't get any vulgarity content..every song of this film is heart touching...if you never watched babushan film then plz must go and watch daman.must say every one should see this film with their family...till now the theatre experience of every single person is awesome.. So my rating is 10 out of 10..
                
                    39 out of 42 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
newgamrit,4 November 2022,Masterpiece of odia cinema,"Cinematography, locations, direction, acting is awsome. You will live the entire movie with lot of emotions, heart touching scenes. Kudos to entire team and hope for blockbuster. You can't imagine such locations is existing within odisha. Culture of odisha tribes is presented in well manner and it require pan india release.Request every odia people to atleast see this movie once in nearby theaters, believe me you won't regret. This type of original story should be made in future and cinema halls should give more screen and support this kind of cinema. I hardly watch odia cinema in movie hall but this one i bought ticket in last moment and realise that ""Odisha- India's best kept secret""
                
                    32 out of 35 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
soumyaranjanmechanical,6 November 2022,A movie demolishing every possible cliche existing in Odia cinema,"To be Frank for every Odia movie lover, a good odia movie was just a gone day reality. I truly never thought in this life I will get an opportunity to say to the world that ""Look, this is our Odia movie.""
Fortunately, Daman has demolished all my delusions.The story, the direction, the screenplay, the dialogues are just perfect. However, the music of Gourav Anand impressed the most. Dhemsa, Nichhatia Mana, Ekela Chale, Daman, all four songs are the four rays of hope for the world of Odia music. They will be in every odia soothing playlist sooner or later.Babushan is playing the lead role perfectly. No one else could be imagined in the role of Doctor Siddharth Mahanty. However, it is deepanwit who has really showcased what a able actor can add to the script. He has truly kept the audience hooked till the end. Not just these two, the truth is, all the actors, in big and small role, have performed wonderfully.Odia Cinema in the recent years have been facing heavy criticism due to lack of originality. To all those critics, it's my humble request to show some love and support now. This movie truly deserve your blessings.",10/10,Daman
yagneshpraharaj,6 November 2022,Awesome,"All of you go and watch first time odisha own contain movie based on true story.#support odia movie like this movie.inspiring movie and acting of doctor babusan was great with all I will say just go and then say this is not a copy movie..Like other movies so pls go with your family this movie is also very inspiring for kids .So request as a odia protect your culture and go watch the movie in this movie all the odia cultures are shown acting direction was very perfectly done. You will not feel boaring and after interval the story will be more exciting upto interval you will not leave your place and you will have the curiosity to know after interval what story will be.
                
                    28 out of 30 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
sunilsethy-35839,8 November 2022,A budget master piece!!!,"Everything in this film are up to the mark sheher it is screen play, Music, story line, direction. Both Babushaan and Dipanweet are very talented and natural actors in this film they did their best to the character they have played. All the artist in this film did really good and one thing that make this movie special is each and every cast did very natural and perfect acting.Director did excellent job in this film and his vision is next level. One thing is clear that content is important for that we don't need huge budget or item song and all.I hope there will be more realistic films like Daman.
                
                    15 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
taraichk,8 November 2022,A movie from which Bollywood can copy,"A great social story by team DAMaN, really worthy to watch.Spot, cinematography, acting, director each and every corner the team has did it's 100cent.A true story of a city doctor and his changed life after reach at rural odisha that is cut off odisha.Young star Babushan did all time best job.Music also upto the mark.A worthy to watch movie.Many doctors also need to learn from this master piece movie.One more thing I requesting everyone to watch this movie at hall.Please do not see pirated verson.Please give some worth to the hard work of the entire team.Team DAMaN hats up to you and your out of the box thought.",10/10,Daman
subhashispraharaj,10 November 2022,Learning for Odia Industry,"It's a excellent movie to watch. Current generation love this kind of movies. The key heighlights are true story giving a strong message to society. This is not only a story of odisha but also a mirror to every society. This is not a kind of typical commercial movies with family drama and romance. The direction is also very much simple and narrative. Everyone should watch this kind of movies at least once. Everyone should feel the real pain in the cut off areas. The role of doctors to the society beautifully explained here. So this movie should be an inspiration to all the young doctors to at least serve for this kind of people.Thank you.
                
                    12 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
